AcSession,id
S18-4207 B1.ome_resized_multichannel.tif,1
S18-4207 B2.ome_resized_multichannel.tif,1
S18-6593 B.ome_resized_multichannel.tif,1
S18-6593 C.ome_resized_multichannel.tif,1
S18-6593 D.ome_resized_multichannel.tif,1
S18-775 A1.ome_resized_multichannel.tif,1
S18-775 A2.ome_resized_multichannel.tif,1
S19-11947 A.ome_resized_multichannel.tif,1
S19-11947 B1.ome_resized_multichannel.tif,1
S19-11947 B2.ome_resized_multichannel.tif,1
S19-12603 D.ome_resized_multichannel.tif,1
S19-12603 E.ome_resized_multichannel.tif,1
S19-12603 F1.ome.ome_resized_multichannel.tif,1
S19-12603 G.ome_resized_multichannel.tif,1
S19-12603 H.ome_resized_multichannel.tif,1
S19-12603 I.ome_resized_multichannel.tif,1
S19-13144 A.ome_resized_multichannel.tif,1
S19-17766 A.ome_resized_multichannel.tif,1
S19-17766 F.ome_resized_multichannel.tif,1
S19-26767 A.ome_resized_multichannel.tif,1
S19-26767 D.ome_resized_multichannel.tif,1
S19-27168 A1.ome_resized_multichannel.tif,1
S19-27168 A2.ome_resized_multichannel.tif,1
S19-27168 B1.ome_resized_multichannel.tif,1
S19-27168 B2.ome_resized_multichannel.tif,1
S19-27168 C1.ome_resized_multichannel.tif,1
S19-27168 C2.ome_resized_multichannel.tif,1
S19-27168 D1.ome_resized_multichannel.tif,1
S19-27168 D2.ome_resized_multichannel.tif,1
S19-27168 E.ome_resized_multichannel.tif,1
S20-10927 D.ome_resized_multichannel.tif,1
S20-10927 E.ome_resized_multichannel.tif,1
S20-10927 J.ome_resized_multichannel.tif,1
S20-2923 D.ome_resized_multichannel.tif,1
S20-2923 E.ome_resized_multichannel.tif,1
S20-2923 F.ome_resized_multichannel.tif,1
S20-2923 G.ome_resized_multichannel.tif,1
S20-2923 H.ome_resized_multichannel.tif,1
S20-2923 I.ome_resized_multichannel.tif,1
S21-14734 A.ome_resized_multichannel.tif,1
S21-14734 B.ome_resized_multichannel.tif,1
S21-14734 C.ome_resized_multichannel.tif,1
S21-14734 D.ome_resized_multichannel.tif,1
S21-14734 E.ome_resized_multichannel.tif,1
S21-14734 F.ome_resized_multichannel.tif,1
S21-15212 D.ome_resized_multichannel.tif,1
S21-15212 E.ome_resized_multichannel.tif,1
S21-15212 F.ome_resized_multichannel.tif,1
S21-15212 G.ome_resized_multichannel.tif,1
S21-15212 H.ome_resized_multichannel.tif,1
S21-15212 I.ome_resized_multichannel.tif,1
S21-20703 D.ome_resized_multichannel.tif,1
S21-20703 E.ome_resized_multichannel.tif,1
S21-20703 F.ome_resized_multichannel.tif,1
S21-20703 G.ome_resized_multichannel.tif,1
S21-20703 H.ome_resized_multichannel.tif,1
S21-20703 I.ome_resized_multichannel.tif,1
S21-24802 A.ome_resized_multichannel.tif,1
S21-24802 B.ome_resized_multichannel.tif,1
S21-24802 C.ome_resized_multichannel.tif,1
S21-24802 D.ome_resized_multichannel.tif,1
S21-24802 E.ome_resized_multichannel.tif,1
S21-24802 F.ome_resized_multichannel.tif,1
